id,neg,neu,pos,compound,polarity,subjectivity,flair_sentiment,Happy,Angry,Surprise,Sad,Fear
861,0.039,0.873,0.088,0.9657,0.5348958333333333,0.5225694444444443,0.9996616840362549,0.14,0.19,0.25,0.14,0.28
220,0.03,0.841,0.129,0.9876,0.5188973063973064,0.6002104377104377,0.04341167211532593,0.17,0.0,0.38,0.1,0.35
23,0.057,0.845,0.098,0.9241,0.5414682539682539,0.6321428571428571,0.9975028932094574,0.11,0.09,0.07,0.33,0.4
106,0.028,0.83,0.142,0.9948,0.5296455938697318,0.4697318007662835,0.08257079124450684,0.07,0.18,0.25,0.29,0.22
470,0.051,0.832,0.116,0.9703,0.6020833333333333,0.598611111111111,0.09024155139923096,0.0,0.48,0.12,0.26,0.14
763,0.038,0.842,0.121,0.9883,0.6414978870336013,0.5351937744794887,0.9990498721599579,0.22,0.11,0.24,0.2,0.24
853,0.08,0.786,0.135,0.9214,0.4643055555555555,0.40555555555555556,0.999156653881073,0.19,0.04,0.27,0.38,0.12
461,0.032,0.915,0.052,0.6705,0.5361111111111111,0.40555555555555556,0.9499450922012329,0.11,0.0,0.16,0.42,0.32
170,0.1,0.811,0.09,0.233,0.5460526315789473,0.45087719298245615,0.7785284519195557,0.09,0.06,0.34,0.26,0.26
731,0.056,0.944,0.0,-0.9607,0.4583333333333333,0.21666666666666667,0.1976109743118286,0.0,0.0,0.0,0.0,1.0
71,0.032,0.902,0.066,0.8625,0.5334415584415584,0.38506493506493505,0.9997210800647736,0.02,0.05,0.59,0.16,0.18
392,0.099,0.84,0.062,-0.9035,0.5485119047619048,0.33504464285714286,0.15680265426635742,0.0,0.12,0.27,0.38,0.23
953,0.05,0.73,0.22,0.999,0.6154775311025311,0.5422190047190047,0.17625746130943298,0.32,0.04,0.24,0.22,0.18
148,0.113,0.817,0.069,-0.8048,0.4976190476190476,0.6833333333333333,0.9637398719787598,0.03,0.26,0.2,0.31,0.2
915,0.0,1.0,0.0,0.0,0.5,0.0,0.1659027338027954,0.0,0.0,0.0,0.0,1.0
506,0.115,0.722,0.163,0.8425,0.6333234714003945,0.47250493096646934,0.0021407902240753174,0.13,0.03,0.29,0.29,0.26
851,0.046,0.942,0.011,-0.9337,0.46,0.72,0.1284952461719513,0.02,0.0,0.75,0.16,0.07
591,0.121,0.707,0.172,0.9197,0.4623768472906404,0.450232621784346,0.0031420886516571045,0.07,0.09,0.33,0.3,0.2
283,0.072,0.813,0.115,0.9594,0.5205065359477125,0.5291666666666667,0.01153901219367981,0.07,0.02,0.3,0.36,0.25
407,0.013,0.848,0.139,0.9805,0.4727272727272727,0.29484848484848486,0.035393327474594116,0.21,0.11,0.07,0.21,0.39
485,0.018,0.872,0.109,0.9562,0.43333333333333335,0.4666666666666667,0.988927036523819,0.0,0.11,0.06,0.56,0.28
957,0.046,0.902,0.051,-0.2023,0.44793169793169796,0.5165464165464168,0.08794957399368286,0.02,0.12,0.44,0.28,0.14
247,0.13,0.711,0.159,0.9263,0.5358869047619048,0.4513678266178267,0.7733561396598816,0.14,0.05,0.16,0.34,0.3
341,0.0,1.0,0.0,0.0,0.5,0.0,0.9966728687286377,0,0,0,0,0
243,0.12,0.709,0.171,0.9658,0.5245157657657658,0.42551801801801803,0.019275933504104614,0.09,0.03,0.17,0.42,0.3
934,0.043,0.823,0.134,0.9901,0.617641975308642,0.3862592592592593,0.9037924110889435,0.15,0.0,0.35,0.21,0.29
166,0.0,0.562,0.438,0.5994,0.5,0.0,0.9990985095500946,1.0,0.0,0.0,0.0,0.0
189,0.067,0.722,0.211,0.9623,0.4749660062160062,0.36255827505827504,0.0066731274127960205,0.0,0.04,0.21,0.39,0.36
418,0.078,0.665,0.257,0.9954,0.7464734299516909,0.7766183574879227,0.9993507862091064,0.19,0.13,0.45,0.06,0.16
366,0.041,0.898,0.061,0.5775,0.5183159722222223,0.4982638888888889,0.9788528680801392,0.02,0.11,0.09,0.42,0.36
869,0.082,0.904,0.015,-0.9128,0.5392636684303351,0.4772927689594357,0.9982525110244751,0.0,0.26,0.11,0.44,0.19
359,0.036,0.88,0.084,0.9631,0.5828896103896104,0.404872534872535,0.08199596405029297,0.06,0.12,0.2,0.27,0.35
650,0.187,0.645,0.168,-0.2084,0.4811749249249249,0.5806681681681684,0.00014665722846984863,0.14,0.06,0.21,0.31,0.28
733,0.2,0.712,0.088,-0.9794,0.6024603174603175,0.5853650793650794,0.8123512268066406,0.04,0.09,0.21,0.3,0.36
354,0.021,0.904,0.075,0.984,0.5485821123321123,0.3562240537240537,0.9271325767040253,0.07,0.23,0.3,0.27,0.12
926,0.055,0.669,0.276,0.9976,0.5999042145593869,0.5772030651340997,0.99943807721138,0.23,0.19,0.16,0.29,0.13
904,0.085,0.818,0.097,0.2732,0.4979166666666667,0.45555555555555555,4.762411117553711e-05,0.31,0.08,0.15,0.19,0.27
471,0.097,0.861,0.042,-0.875,0.5368055555555555,0.37222222222222223,0.8264708817005157,0.12,0.0,0.23,0.58,0.08
831,0.154,0.756,0.09,-0.9793,0.5218504489337823,0.4293630751964084,0.7688321173191071,0.04,0.1,0.06,0.59,0.2
237,0.042,0.885,0.073,0.8686,0.5419751082251082,0.4964069264069264,0.002945840358734131,0.02,0.07,0.21,0.38,0.31
598,0.169,0.772,0.059,-0.981,0.47881944444444446,0.3090277777777778,0.04556882381439209,0.03,0.0,0.28,0.22,0.47
146,0.012,0.94,0.047,0.7088,0.5176587301587302,0.2759920634920635,0.9975833296775818,0.04,0.09,0.07,0.38,0.42
249,0.115,0.67,0.215,0.9923,0.5124913733609385,0.526311249137336,0.8326626718044281,0.15,0.07,0.07,0.35,0.35
329,0.121,0.768,0.111,-0.492,0.5918376068376068,0.5124786324786323,0.0012008249759674072,0.09,0.07,0.48,0.18,0.18
683,0.0,0.843,0.157,0.9849,0.6552248677248678,0.6308201058201058,0.9992746412754059,0.06,0.06,0.24,0.41,0.24
801,0.235,0.738,0.027,-0.9979,0.4797136544011544,0.5596825396825398,0.0009241402149200439,0.1,0.28,0.17,0.28,0.17
19,0.0,1.0,0.0,0.0,0.5,0.0,0.999520868062973,0,0,0,0,0
360,0.277,0.581,0.142,-0.9925,0.34973544973544973,0.8328042328042329,0.0381891131401062,0.02,0.09,0.22,0.49,0.18
128,0.041,0.763,0.196,0.9887,0.5355392156862745,0.8387254901960784,0.9882610440254211,0.24,0.29,0.0,0.26,0.21
813,0.04,0.751,0.21,0.998,0.5586152882205514,0.33126566416040104,0.0025581419467926025,0.15,0.13,0.2,0.29,0.22
740,0.085,0.672,0.243,0.9951,0.5949156746031746,0.553546626984127,0.8282537758350372,0.27,0.04,0.13,0.4,0.15
659,0.0,1.0,0.0,0.0,0.5,0.0,0.9962028563022614,0,0,0,0,0
814,0.007,0.769,0.224,0.9952,0.5037037037037037,0.23919753086419748,0.9995302259922028,0.21,0.17,0.41,0.07,0.14
639,0.048,0.86,0.092,0.9664,0.5435081845238096,0.48407738095238106,0.10657122731208801,0.1,0.08,0.46,0.27,0.1
589,0.166,0.818,0.016,-0.9965,0.5132638888888889,0.28097222222222223,1.6808509826660156e-05,0.02,0.17,0.26,0.17,0.38
234,0.118,0.782,0.101,-0.8872,0.5134996003996004,0.42411318681318677,0.00045794248580932617,0.07,0.12,0.14,0.3,0.38
818,0.073,0.807,0.12,0.9596,0.5700938939836966,0.4595339358497252,0.03204891085624695,0.08,0.08,0.29,0.31,0.24
40,0.132,0.734,0.134,-0.1449,0.5292410714285715,0.430026455026455,0.0005290806293487549,0.17,0.09,0.48,0.09,0.17
